,Date,Door,Count
589,2017-07-03 10:30,DoorE,41
590,2017-07-03 11:00,DoorA,45
591,2017-07-03 11:00,DoorB,73
592,2017-07-03 11:00,DoorC,26
593,2017-07-03 11:00,DoorD,105
594,2017-07-03 11:00,DoorE,51
595,2017-07-03 11:30,DoorA,53
596,2017-07-03 11:30,DoorB,82
597,2017-07-03 11:30,DoorC,24
598,2017-07-03 11:30,DoorD,86
599,2017-07-03 11:30,DoorE,46
600,2017-07-03 12:00,DoorA,59
601,2017-07-03 12:00,DoorB,57
602,2017-07-03 12:00,DoorC,26
603,2017-07-03 12:00,DoorD,85
604,2017-07-03 12:00,DoorE,43
605,2017-07-03 12:30,DoorA,39
606,2017-07-03 12:30,DoorB,89
607,2017-07-03 12:30,DoorC,25
608,2017-07-03 12:30,DoorD,108
609,2017-07-03 12:30,DoorE,45
610,2017-07-03 13:00,DoorA,49
611,2017-07-03 13:00,DoorB,61
612,2017-07-03 13:00,DoorC,28
613,2017-07-03 13:00,DoorD,94
614,2017-07-03 13:00,DoorE,42
615,2017-07-03 13:30,DoorA,57
616,2017-07-03 13:30,DoorB,68
617,2017-07-03 13:30,DoorC,27
618,2017-07-03 13:30,DoorD,110
619,2017-07-03 13:30,DoorE,51
620,2017-07-03 14:00,DoorA,44
621,2017-07-03 14:00,DoorB,67
622,2017-07-03 14:00,DoorC,41
623,2017-07-03 14:00,DoorD,89
624,2017-07-03 14:00,DoorE,45
625,2017-07-03 14:30,DoorA,51
626,2017-07-03 14:30,DoorB,75
627,2017-07-03 14:30,DoorC,21
628,2017-07-03 14:30,DoorD,86
629,2017-07-03 14:30,DoorE,36
630,2017-07-03 15:00,DoorA,47
631,2017-07-03 15:00,DoorB,51
632,2017-07-03 15:00,DoorC,20
633,2017-07-03 15:00,DoorD,105
634,2017-07-03 15:00,DoorE,47
635,2017-07-03 15:30,DoorA,54
636,2017-07-03 15:30,DoorB,63
637,2017-07-03 15:30,DoorC,39
638,2017-07-03 15:30,DoorD,98
639,2017-07-03 15:30,DoorE,39
640,2017-07-03 16:00,DoorA,45
641,2017-07-03 16:00,DoorB,55
